id,Name,X,Y,LONGITUDE,LATITUDE,MESSAGEDATE,USERSCREENNAME,MESSAGETEXT,LOCATION,HASHTAGS,MESSAGETEXT+HASHTAGS,Features,keyword=storm,keyword=wind,keyword=rain,keyword=snow,keyword=hail,keyword=flood,keyword=road,keyword=collapse,keyword=ingury,keyword=disrupt,keyword=forecast,Mask,bad weather (sum),consequence (sum),bad weather,consequence
581338551868063744,storm,0.071042,52.094433,0.071042001247406,52.09443283081055,27/03/2015 06:14:46,Willis12Pat,Love retirement!  My day.. The 7's taping the Hurricane's to watch after walking Max; more 7's Finish the day with Wasps on TV!    COYW,Fowlmere; England,,Love retirement!  My day.. The 7's taping the Hurricane's to watch after walking Max; more 7's Finish the day with Wasps on TV!    COYW;,storm,1,0,0,0,0,0,0,0,0,0,0,10000000000,1.000,0.000,1.000,0.000
581275225955893249,collapse,-0.210674,51.478096,-0.2106740027666092,51.47809600830078,27/03/2015 02:03:08,Daiz11,Fyi if the brightside remix is played in London I might collapse in on myself it's that tracks fault I am a fan of the killers at all,Hammersmith; London,,Fyi if the brightside remix is played in London I might collapse in on myself it's that tracks fault I am a fan of the killers at all;,collapse,0,0,0,0,0,0,0,1,0,0,0,00000001000,0.000,1.000,0.000,1.000
581312068629954560,wind,-3.086356,53.06009,-3.0863559246063232,53.060089111328125,27/03/2015 04:29:32,secondhand_shed,@tonywilliams68 @wrexham strong winds sorry ;it's been a long week,Minera; Wales,,@tonywilliams68 @wrexham strong winds sorry ;it's been a long week;,wind,0,1,0,0,0,0,0,0,0,0,0,01000000000,1.000,0.000,1.000,0.000
581274239308832769,flood,-1.118795,52.617813,-1.1187950372695923,52.61781311035156,27/03/2015 01:59:12,DrJonMillett,@Leicester_Merc New street lamp is like living in a flood lit stadium. @LeicesterCncl http://t.co/FjWGhcjcYu,Leicester; England,,@Leicester_Merc New street lamp is like living in a flood lit stadium. @LeicesterCncl http://t.co/FjWGhcjcYu;,flood,0,0,0,0,0,1,0,0,0,0,0,00000100000,0.000,1.000,0.000,1.000
581330592920444928,flood,-0.651385,51.902275,-0.6513850092887878,51.90227508544922,27/03/2015 05:43:08,VirtualJukebox,The Flood by Cheryl Cole is #nowplaying in Anytime Fitness.  Download it now at http://t.co/IHiJOMh78r,East; England,nowplaying,The Flood by Cheryl Cole is #nowplaying in Anytime Fitness.  Download it now at http://t.co/IHiJOMh78r;nowplaying,flood,0,0,0,0,0,1,0,0,0,0,0,00000100000,0.000,1.000,0.000,1.000
581347370438393856,storm,-0.462822,53.21982,-0.46282199025154114,53.219818115234375,27/03/2015 06:49:48,CunninghamKian,The calm before the storm ... http://t.co/7Pv56YJWzS,Washingborough; England,,The calm before the storm ... http://t.co/7Pv56YJWzS;,storm,1,0,0,0,0,0,0,0,0,0,0,10000000000,1.000,0.000,1.000,0.000
581328032511709184,collapse;forecast,-1.537833,53.387165,-1.5378329753875732,53.38716506958008,27/03/2015 05:32:58,deffmick,@SkyNews  Something fishy here ! Usually; tall building on fire in New York ; collapse at free fall speed !,Yorkshire and The Humber; England,,@SkyNews  Something fishy here ! Usually; tall building on fire in New York ; collapse at free fall speed !;,collapse;forecast,0,0,0,0,0,0,0,1,0,0,1,00000001001,0.000,1.000,0.000,1.000
581268046955806720,storm,-1.584887,52.77857,-1.5848870277404785,52.778568267822266,27/03/2015 01:34:36,_katiegreen__,stormzy / mievado,Swadlincote; England,,stormzy / mievado;,storm,1,0,0,0,0,0,0,0,0,0,0,10000000000,1.000,0.000,1.000,0.000
581346808099684352,disrupt,0.012129,50.87074,0.012129000388085842,50.8707389831543,27/03/2015 06:47:34,philhillslewes,@NRE_Southern @brightonstation what about disruption on up line near Glynde due to damaged cable?? Has nobody told you?,Lewes; England,,@NRE_Southern @brightonstation what about disruption on up line near Glynde due to damaged cable?? Has nobody told you?;,disrupt,0,0,0,0,0,0,0,0,0,1,0,00000000010,0.000,1.000,0.000,1.000
581270572723634176,forecast,0.252533,51.51117,0.2525329887866974,51.51116943359375,27/03/2015 01:44:38,TheMockneyRebel,Guardian/ICM survey puts Labour in line to gain 8 seats in London as Tories fall back and Lib Dem support collapses http://t.co/23zVTpxNUq,Aveley; England,,Guardian/ICM survey puts Labour in line to gain 8 seats in London as Tories fall back and Lib Dem support collapses http://t.co/23zVTpxNUq;,forecast,0,0,0,0,0,0,0,0,0,0,1,00000000001,0.000,0.000,0.000,0.000
